"anyo","provincia","comarca","cdmun","municipi","codi_sector","descripcio_sector","consum_kwh","observacions"
2013,"BARCELONA","BERGUEDA","08024","BORREDA",1,"PRIMARI","32063",NULL
2013,"BARCELONA","BERGUEDA","08024","BORREDA",3,"INDUSTRIAL","161355",NULL
2013,"BARCELONA","BERGUEDA","08024","BORREDA",4,"CONSTRUCCIO I OBRES PUBLIQUES","25269",NULL
2013,"BARCELONA","BERGUEDA","08024","BORREDA",6,"TERCIARI","1078955",NULL
2013,"BARCELONA","BERGUEDA","08024","BORREDA",7,"USOS DOMESTICS","861542",NULL
2013,"BARCELONA","ANOIA","08025","BRUC, EL",1,"PRIMARI","26956",NULL
2013,"BARCELONA","ANOIA","08025","BRUC, EL",3,"INDUSTRIAL",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","ANOIA","08025","BRUC, EL",4,"CONSTRUCCIO I OBRES PUBLIQUES","40209",NULL
2013,"BARCELONA","ANOIA","08025","BRUC, EL",6,"TERCIARI","3574295",NULL
2013,"BARCELONA","ANOIA","08025","BRUC, EL",7,"USOS DOMESTICS","3502962",NULL
2013,"BARCELONA","OSONA","08026","BRULL, EL",1,"PRIMARI","237443",NULL
2013,"BARCELONA","OSONA","08026","BRULL, EL",3,"INDUSTRIAL",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","OSONA","08026","BRULL, EL",4,"CONSTRUCCIO I OBRES PUBLIQUES","15172",NULL
2013,"BARCELONA","OSONA","08026","BRULL, EL",6,"TERCIARI","868628",NULL
2013,"BARCELONA","OSONA","08026","BRULL, EL",7,"USOS DOMESTICS","370585",NULL
2013,"BARCELONA","ALT PENEDES","08027","CABANYES, LES",3,"INDUSTRIAL","134982",NULL
2013,"BARCELONA","ALT PENEDES","08027","CABANYES, LES",4,"CONSTRUCCIO I OBRES PUBLIQUES","18282",NULL
2013,"BARCELONA","ALT PENEDES","08027","CABANYES, LES",6,"TERCIARI","1105991",NULL
2013,"BARCELONA","ALT PENEDES","08027","CABANYES, LES",7,"USOS DOMESTICS","1777161",NULL
2013,"BARCELONA","ANOIA","08028","CABRERA D'ANOIA",1,"PRIMARI",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","ANOIA","08028","CABRERA D'ANOIA",3,"INDUSTRIAL",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","ANOIA","08028","CABRERA D'ANOIA",4,"CONSTRUCCIO I OBRES PUBLIQUES","132843",NULL
2013,"BARCELONA","ANOIA","08028","CABRERA D'ANOIA",6,"TERCIARI","1692746",NULL
2013,"BARCELONA","ANOIA","08028","CABRERA D'ANOIA",7,"USOS DOMESTICS","1850621",NULL
2013,"BARCELONA","MARESME","08029","CABRERA DE MAR",1,"PRIMARI","720545",NULL
2013,"BARCELONA","MARESME","08029","CABRERA DE MAR",3,"INDUSTRIAL","13256193",NULL
2013,"BARCELONA","MARESME","08029","CABRERA DE MAR",4,"CONSTRUCCIO I OBRES PUBLIQUES","102746",NULL
2013,"BARCELONA","MARESME","08029","CABRERA DE MAR",6,"TERCIARI","17888750",NULL
2013,"BARCELONA","MARESME","08029","CABRERA DE MAR",7,"USOS DOMESTICS","8565579",NULL
2013,"BARCELONA","MARESME","08030","CABRILS",1,"PRIMARI","207745",NULL
2013,"BARCELONA","MARESME","08030","CABRILS",3,"INDUSTRIAL","849956",NULL
2013,"BARCELONA","MARESME","08030","CABRILS",4,"CONSTRUCCIO I OBRES PUBLIQUES","146995",NULL
2013,"BARCELONA","MARESME","08030","CABRILS",6,"TERCIARI","6820020",NULL
2013,"BARCELONA","MARESME","08030","CABRILS",7,"USOS DOMESTICS","13517796",NULL
2013,"BARCELONA","ANOIA","08031","CALAF",1,"PRIMARI","276798",NULL
2013,"BARCELONA","ANOIA","08031","CALAF",3,"INDUSTRIAL","10717135",NULL
2013,"BARCELONA","ANOIA","08031","CALAF",4,"CONSTRUCCIO I OBRES PUBLIQUES","335296",NULL
2013,"BARCELONA","ANOIA","08031","CALAF",5,"TRANSPORT",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","ANOIA","08031","CALAF",6,"TERCIARI","4198615",NULL
2013,"BARCELONA","ANOIA","08031","CALAF",7,"USOS DOMESTICS","4464022",NULL
2013,"BARCELONA","MARESME","08032","CALDES D'ESTRAC",1,"PRIMARI",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","MARESME","08032","CALDES D'ESTRAC",3,"INDUSTRIAL","27113",NULL
2013,"BARCELONA","MARESME","08032","CALDES D'ESTRAC",4,"CONSTRUCCIO I OBRES PUBLIQUES","49005",NULL
2013,"BARCELONA","MARESME","08032","CALDES D'ESTRAC",6,"TERCIARI","3394977",NULL
2013,"BARCELONA","MARESME","08032","CALDES D'ESTRAC",7,"USOS DOMESTICS","4768266",NULL
2013,"BARCELONA","VALLES ORIENTAL","08033","CALDES DE MONTBUI",1,"PRIMARI","1630776",NULL
2013,"BARCELONA","VALLES ORIENTAL","08033","CALDES DE MONTBUI",3,"INDUSTRIAL","23556126",NULL
2013,"BARCELONA","VALLES ORIENTAL","08033","CALDES DE MONTBUI",4,"CONSTRUCCIO I OBRES PUBLIQUES","1605217",NULL
2013,"BARCELONA","VALLES ORIENTAL","08033","CALDES DE MONTBUI",6,"TERCIARI","21461559",NULL
2013,"BARCELONA","VALLES ORIENTAL","08033","CALDES DE MONTBUI",7,"USOS DOMESTICS","26100661",NULL
2013,"BARCELONA","BAGES","08034","CALDERS",1,"PRIMARI","155399",NULL
2013,"BARCELONA","BAGES","08034","CALDERS",3,"INDUSTRIAL","40041",NULL
2013,"BARCELONA","BAGES","08034","CALDERS",4,"CONSTRUCCIO I OBRES PUBLIQUES","33174",NULL
2013,"BARCELONA","BAGES","08034","CALDERS",6,"TERCIARI","1107469",NULL
2013,"BARCELONA","BAGES","08034","CALDERS",7,"USOS DOMESTICS","1555787",NULL
2013,"BARCELONA","MARESME","08035","CALELLA",1,"PRIMARI","22674",NULL
2013,"BARCELONA","MARESME","08035","CALELLA",3,"INDUSTRIAL","427283",NULL
2013,"BARCELONA","MARESME","08035","CALELLA",4,"CONSTRUCCIO I OBRES PUBLIQUES","144404",NULL
2013,"BARCELONA","MARESME","08035","CALELLA",6,"TERCIARI","43481885",NULL
2013,"BARCELONA","MARESME","08035","CALELLA",7,"USOS DOMESTICS","25903026",NULL
2013,"BARCELONA","ANOIA","08036","CALONGE DE SEGARRA",1,"PRIMARI","194073",NULL
2013,"BARCELONA","ANOIA","08036","CALONGE DE SEGARRA",3,"INDUSTRIAL",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","ANOIA","08036","CALONGE DE SEGARRA",4,"CONSTRUCCIO I OBRES PUBLIQUES",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","ANOIA","08036","CALONGE DE SEGARRA",6,"TERCIARI","230863",NULL
2013,"BARCELONA","ANOIA","08036","CALONGE DE SEGARRA",7,"USOS DOMESTICS","315697",NULL
2013,"BARCELONA","OSONA","08037","CALLDETENES",1,"PRIMARI","179430",NULL
2013,"BARCELONA","OSONA","08037","CALLDETENES",3,"INDUSTRIAL","2011552",NULL
2013,"BARCELONA","OSONA","08037","CALLDETENES",4,"CONSTRUCCIO I OBRES PUBLIQUES","42685",NULL
2013,"BARCELONA","OSONA","08037","CALLDETENES",6,"TERCIARI","2280184",NULL
2013,"BARCELONA","OSONA","08037","CALLDETENES",7,"USOS DOMESTICS","3759581",NULL
2013,"BARCELONA","BAGES","08038","CALLUS",1,"PRIMARI","55973",NULL
2013,"BARCELONA","BAGES","08038","CALLUS",3,"INDUSTRIAL","320217",NULL
