"id","codimuni","nommuni","areaofi","areapol","codicomar","codiprov","validde","dataalta","habitants","altitud","nomcomar"
675,"251654","Peramola",NULL,"55.8335","04","25",NULL,"201707262100",377,566,"Alt Urgell"
676,"251667","Pinell de Solsonès","90.5631","90.5631","35","25","20170726","201707262100",204,800,"Solsonès"
677,"251673","Pinós",NULL,"104.2368","35","25",NULL,"201707262100",322,823,"Solsonès"
678,"251689","el Poal","8.86","8.86","27","25","20101215","201707262100",660,216,"Pla d'Urgell"
679,"251692","la Pobla de Cérvoles","61.98","61.98","18","25","20100311","201707262100",250,663,"Garrigues"
680,"251706","Bellaguarda",NULL,"20.3388","18","25",NULL,"201707262100",352,640,"Garrigues"
681,"251713","la Pobla de Segur",NULL,"33.6166","25","25",NULL,"201707262100",3050,524,"Pallars Jussà"
682,"251728","Ponts",NULL,"30.7315","23","25",NULL,"201707262100",2567,363,"Noguera"
683,"251734","el Pont de Suert",NULL,"148.3836","05","25",NULL,"201707262100",2317,838,"Alta Ribagorça"
684,"251749","la Portella",NULL,"11.7129","33","25",NULL,"201707262100",796,259,"Segrià"
685,"251752","Prats i Sansor",NULL,"6.6223","15","25",NULL,"201707262100",226,1124,"Cerdanya"
686,"251765","Preixana","21.3445","21.3445","38","25","20140514","201707262100",422,328,"Urgell"
687,"251771","Preixens",NULL,"28.7537","23","25",NULL,"201707262100",514,315,"Noguera"
688,"251790","Prullans","21.1360","21.136","15","25","20170426","201707262100",224,1096,"Cerdanya"
689,"251804","Puiggròs","9.83","9.83","18","25","20100311","201707262100",298,334,"Garrigues"
690,"251811","Puigverd d'Agramunt",NULL,"21.2221","38","25",NULL,"201707262100",268,366,"Urgell"
691,"251826","Puigverd de Lleida",NULL,"12.4195","33","25",NULL,"201707262100",1259,219,"Segrià"
692,"251832","Rialp",NULL,"63.1583","26","25",NULL,"201707262100",649,725,"Pallars Sobirà"
693,"251850","Ribera d'Urgellet",NULL,"106.8463","04","25",NULL,"201707262100",971,702,"Alt Urgell"
694,"251863","Riner","47.5771","47.5771","35","25","20170726","201707262100",274,611,"Solsonès"
695,"251898","Rosselló",NULL,"9.9433","33","25",NULL,"201707262100",2478,252,"Segrià"
696,"251902","Salàs de Pallars",NULL,"20.441","25","25",NULL,"201707262100",330,573,"Pallars Jussà"
697,"251919","Sanaüja","32.9353","32.9353","32","25","20140514","201707262100",448,409,"Segarra"
698,"251924","Sant Guim de Freixenet","25.1481","25.1481","32","25","20140514","201707262100",1057,738,"Segarra"
699,"251930","Sant Llorenç de Morunys","4.5941","4.5941","35","25","20170726","201707262100",950,925,"Solsonès"
700,"251945","Sant Ramon","18.8603","18.8603","32","25","20140212","201707262100",565,641,"Segarra"
701,"251961","Sant Esteve de la Sarga",NULL,"92.6176","25","25",NULL,"201707262100",155,875,"Pallars Jussà"
702,"251977","Sant Guim de la Plana","12.3157","12.3157","32","25","20130529","201707262100",199,556,"Segarra"
703,"252000","Sarroca de Lleida",NULL,"41.7855","33","25",NULL,"201707262100",446,201,"Segrià"
704,"252017","Sarroca de Bellera",NULL,"87.5452","25","25",NULL,"201707262100",142,1002,"Pallars Jussà"
705,"252022","Senterada",NULL,"34.5049","25","25",NULL,"201707262100",126,729,"Pallars Jussà"
706,"252038","la Seu d'Urgell",NULL,"15.4501","04","25",NULL,"201707262100",12533,691,"Alt Urgell"
707,"252043","Seròs",NULL,"85.9856","33","25",NULL,"201707262100",1909,103,"Segrià"
708,"252056","Sidamon",NULL,"8.1517","27","25",NULL,"201707262100",688,232,"Pla d'Urgell"
709,"252069","el Soleràs","12.62","12.62","18","25","20100311","201707262100",382,381,"Garrigues"
710,"252075","Solsona","17.70","17.7","35","25","20050620","201707262100",8823,664,"Solsonès"
711,"252081","Soriguera",NULL,"106.0372","26","25",NULL,"201707262100",337,1192,"Pallars Sobirà"
712,"252094","Sort",NULL,"105.1781","26","25",NULL,"201707262100",2238,692,"Pallars Sobirà"
